Start pack to DataLoader... Done!
Start training...
Epoch: 95, Avg_Epoch_Time: 15.6823, LossD: 0.9823, LossG: 1.5279
Epoch: 96, Avg_Epoch_Time: 17.0650, LossD: 0.9517, LossG: 1.4239
Epoch: 97, Avg_Epoch_Time: 15.7245, LossD: 0.9653, LossG: 0.3908
Epoch: 98, Avg_Epoch_Time: 17.0454, LossD: 1.0914, LossG: 1.5359
Epoch: 99, Avg_Epoch_Time: 15.7448, LossD: 0.6701, LossG: 1.7880
Epoch: 100, Avg_Epoch_Time: 17.0521, LossD: 0.7683, LossG: 2.0918
Epoch: 101, Avg_Epoch_Time: 15.8207, LossD: 0.8473, LossG: 1.6401
Epoch: 102, Avg_Epoch_Time: 17.0637, LossD: 0.5285, LossG: 2.1219
Epoch: 103, Avg_Epoch_Time: 15.7018, LossD: 0.4020, LossG: 2.3721
Epoch: 104, Avg_Epoch_Time: 17.0733, LossD: 0.5764, LossG: 1.5578
Epoch: 105, Avg_Epoch_Time: 15.6813, LossD: 1.2803, LossG: 0.7338
Epoch: 106, Avg_Epoch_Time: 17.0175, LossD: 0.5894, LossG: 1.8254
Epoch: 107, Avg_Epoch_Time: 15.6577, LossD: 0.9107, LossG: 0.7019
Epoch: 108, Avg_Epoch_Time: 17.0236, LossD: 0.4734, LossG: 2.2265
Epoch: 109, Avg_Epoch_Time: 15.6739, LossD: 0.7001, LossG: 1.7651
Epoch: 110, Avg_Epoch_Time: 17.0254, LossD: 1.0109, LossG: 0.8342
Epoch: 111, Avg_Epoch_Time: 15.9114, LossD: 1.4982, LossG: 0.9753
Epoch: 112, Avg_Epoch_Time: 17.0468, LossD: 1.0109, LossG: 0.8818
Epoch: 113, Avg_Epoch_Time: 15.6832, LossD: 0.6698, LossG: 1.8889
Epoch: 114, Avg_Epoch_Time: 17.0624, LossD: 0.4046, LossG: 2.2365
Epoch: 115, Avg_Epoch_Time: 15.7611, LossD: 1.0597, LossG: 1.2819
Epoch: 116, Avg_Epoch_Time: 17.0198, LossD: 1.2034, LossG: 1.3443
